[2025-10-21 22:22:20] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 22:22:20] mask_ratio=0.75, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=mse, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 22:31:23] [20251021222220] Epoch: 37, train loss positive: 192.0945, train loss negative: 478.1508, val acc: 1.0000, all_100_49621.484375_1.0_0.0
[2025-10-21 22:31:37] [20251021222220] Epoch: 38, train loss positive: 190.4104, train loss negative: 476.3376, val acc: 1.0000, all_100_50270.33984375_1.0_0.0
[2025-10-21 22:31:51] [20251021222220] Epoch: 39, train loss positive: 188.1265, train loss negative: 472.9407, val acc: 1.0000, all_100_50460.3359375_1.0_0.0
[2025-10-21 22:32:05] [20251021222220] Epoch: 40, train loss positive: 186.9923, train loss negative: 473.4519, val acc: 1.0000, all_100_324222.46875_1.0_0.0
[2025-10-21 22:32:19] [20251021222220] Epoch: 41, train loss positive: 185.8086, train loss negative: 468.0854, val acc: 1.0000, all_100_49788.18359375_1.0_0.0
[2025-10-21 22:32:33] [20251021222220] Epoch: 42, train loss positive: 184.8969, train loss negative: 464.3463, val acc: 1.0000, all_100_50861.83984375_1.0_0.0
[2025-10-21 22:32:47] [20251021222220] Epoch: 43, train loss positive: 184.7155, train loss negative: 464.0938, val acc: 1.0000, all_100_61148.53125_1.0_0.0
[2025-10-21 22:33:01] [20251021222220] Epoch: 44, train loss positive: 183.5915, train loss negative: 460.7141, val acc: 1.0000, all_100_92182.8671875_1.0_0.0
[2025-10-21 22:33:14] [20251021222220] Epoch: 45, train loss positive: 182.6338, train loss negative: 459.1238, val acc: 1.0000, all_100_156647.15625_1.0_0.0
[2025-10-21 22:33:29] [20251021222220] Epoch: 46, train loss positive: 182.9845, train loss negative: 452.5998, val acc: 1.0000, all_100_43740.953125_1.0_0.0
[2025-10-21 22:33:43] [20251021222220] Epoch: 47, train loss positive: 181.4905, train loss negative: 453.0518, val acc: 1.0000, all_100_45120.6328125_1.0_0.0
[2025-10-21 22:33:57] [20251021222220] Epoch: 48, train loss positive: 180.9837, train loss negative: 449.4541, val acc: 1.0000, all_100_58355.83984375_1.0_0.0
[2025-10-21 22:34:12] [20251021222220] Epoch: 49, train loss positive: 180.9349, train loss negative: 446.9920, val acc: 1.0000, all_100_48189.95703125_1.0_0.0
[2025-10-21 22:34:25] [20251021222220] Epoch: 50, train loss positive: 179.5302, train loss negative: 445.3963, val acc: 1.0000, all_100_45719.58203125_1.0_0.0
[2025-10-21 22:34:39] [20251021222220] Epoch: 51, train loss positive: 178.1655, train loss negative: 447.3227, val acc: 1.0000, all_100_46624.38671875_1.0_0.0
[2025-10-21 22:34:53] [20251021222220] Epoch: 52, train loss positive: 177.3894, train loss negative: 445.7303, val acc: 1.0000, all_100_61653.0859375_1.0_0.0
[2025-10-21 22:35:08] [20251021222220] Epoch: 53, train loss positive: 177.0541, train loss negative: 446.4078, val acc: 1.0000, all_100_41457.9296875_1.0_0.0
[2025-10-21 22:35:22] [20251021222220] Epoch: 54, train loss positive: 176.9956, train loss negative: 446.5806, val acc: 1.0000, all_100_43332.40234375_1.0_0.0
[2025-10-21 22:35:37] [20251021222220] Epoch: 55, train loss positive: 176.9973, train loss negative: 447.8348, val acc: 1.0000, all_100_47229.3671875_1.0_0.0
[2025-10-21 22:35:51] [20251021222220] Epoch: 56, train loss positive: 177.3369, train loss negative: 450.3782, val acc: 1.0000, all_100_46109.109375_1.0_0.0
[2025-10-21 22:36:05] [20251021222220] Epoch: 57, train loss positive: 176.4772, train loss negative: 450.6400, val acc: 1.0000, all_100_44753.23828125_1.0_0.0
[2025-10-21 22:36:19] [20251021222220] Epoch: 58, train loss positive: 177.5657, train loss negative: 463.0585, val acc: 1.0000, all_100_63618.3125_1.0_0.0
[2025-10-21 22:36:33] [20251021222220] Epoch: 59, train loss positive: 178.2360, train loss negative: 467.8767, val acc: 1.0000, all_100_50967.03515625_1.0_0.0
[2025-10-21 22:36:48] [20251021222220] Epoch: 60, train loss positive: 178.5784, train loss negative: 472.6073, val acc: 1.0000, all_100_40676.1796875_1.0_0.0
[2025-10-21 22:37:03] [20251021222220] Epoch: 61, train loss positive: 176.8222, train loss negative: 463.0960, val acc: 1.0000, all_100_47471.140625_1.0_0.0
[2025-10-21 22:37:17] [20251021222220] Epoch: 62, train loss positive: 174.0624, train loss negative: 468.6691, val acc: 1.0000, all_100_47339.7890625_1.0_0.0
[2025-10-21 22:37:32] [20251021222220] Epoch: 63, train loss positive: 176.1813, train loss negative: 456.4520, val acc: 1.0000, all_100_48163.4296875_1.0_0.0
[2025-10-21 22:37:46] [20251021222220] Epoch: 64, train loss positive: 175.0465, train loss negative: 454.0135, val acc: 1.0000, all_100_50899.58984375_1.0_0.0
[2025-10-21 22:38:00] [20251021222220] Epoch: 65, train loss positive: 182.3306, train loss negative: 468.2735, val acc: 1.0000, all_100_38179.15625_1.0_0.0
[2025-10-21 22:38:15] [20251021222220] Epoch: 66, train loss positive: 183.3876, train loss negative: 468.0682, val acc: 1.0000, all_100_87940.03125_1.0_0.0
[2025-10-21 22:38:29] [20251021222220] Epoch: 67, train loss positive: 182.8624, train loss negative: 471.0085, val acc: 1.0000, all_100_42842.4453125_1.0_0.0
[2025-10-21 22:38:43] [20251021222220] Epoch: 68, train loss positive: 199.6540, train loss negative: 517.6088, val acc: 1.0000, all_100_57733.53515625_1.0_0.0
[2025-10-21 22:38:57] [20251021222220] Epoch: 69, train loss positive: 226.9816, train loss negative: 588.3868, val acc: 1.0000, all_100_47167.6015625_1.0_0.0
[2025-10-21 22:39:11] [20251021222220] Epoch: 70, train loss positive: 220.5868, train loss negative: 559.8772, val acc: 1.0000, all_100_46030.33984375_1.0_0.0
[2025-10-21 22:39:26] [20251021222220] Epoch: 71, train loss positive: 214.8391, train loss negative: 538.2932, val acc: 1.0000, all_100_49694.50390625_1.0_0.0
[2025-10-21 22:39:39] [20251021222220] Epoch: 72, train loss positive: 208.8481, train loss negative: 522.2560, val acc: 1.0000, all_100_38305.0859375_1.0_0.0
[2025-10-21 22:39:54] [20251021222220] Epoch: 73, train loss positive: 207.6731, train loss negative: 513.7325, val acc: 1.0000, all_100_47352.03515625_1.0_0.0
[2025-10-21 22:40:08] [20251021222220] Epoch: 74, train loss positive: 204.8941, train loss negative: 508.4214, val acc: 1.0000, all_100_68571.3671875_1.0_0.0
[2025-10-21 22:40:23] [20251021222220] Epoch: 75, train loss positive: 202.8307, train loss negative: 506.4913, val acc: 1.0000, all_100_48304.828125_1.0_0.0
[2025-10-21 22:40:37] [20251021222220] Epoch: 76, train loss positive: 201.3404, train loss negative: 503.3251, val acc: 1.0000, all_100_65733.3671875_1.0_0.0
[2025-10-21 22:40:51] [20251021222220] Epoch: 77, train loss positive: 200.5314, train loss negative: 501.6104, val acc: 1.0000, all_100_46422.953125_1.0_0.0
[2025-10-21 22:41:05] [20251021222220] Epoch: 78, train loss positive: 200.3694, train loss negative: 502.8642, val acc: 1.0000, all_100_163138.71875_1.0_0.0
[2025-10-21 22:41:19] [20251021222220] Epoch: 79, train loss positive: 198.8979, train loss negative: 500.2120, val acc: 1.0000, all_100_44077.41015625_1.0_0.0
[2025-10-21 22:41:32] [20251021222220] Epoch: 80, train loss positive: 198.1883, train loss negative: 501.5464, val acc: 1.0000, all_100_57397.50390625_1.0_0.0
[2025-10-21 22:41:47] [20251021222220] Epoch: 81, train loss positive: 197.5899, train loss negative: 495.0933, val acc: 1.0000, all_100_314899.1875_1.0_0.0
[2025-10-21 22:42:01] [20251021222220] Epoch: 82, train loss positive: 196.9088, train loss negative: 494.2402, val acc: 1.0000, all_100_56824.07421875_1.0_0.0
[2025-10-21 22:42:16] [20251021222220] Epoch: 83, train loss positive: 195.6699, train loss negative: 490.3698, val acc: 1.0000, all_100_49011.21875_1.0_0.0
[2025-10-21 22:42:30] [20251021222220] Epoch: 84, train loss positive: 193.9128, train loss negative: 488.5548, val acc: 1.0000, all_100_65618.671875_1.0_0.0
[2025-10-21 22:42:44] [20251021222220] Epoch: 85, train loss positive: 192.8550, train loss negative: 484.9487, val acc: 1.0000, all_100_129762.4765625_1.0_0.0
[2025-10-21 22:42:58] [20251021222220] Epoch: 86, train loss positive: 192.5645, train loss negative: 481.7429, val acc: 1.0000, all_100_55511.3359375_1.0_0.0
[2025-10-21 22:43:13] [20251021222220] Epoch: 87, train loss positive: 191.3367, train loss negative: 477.7761, val acc: 1.0000, all_100_52260.37890625_1.0_0.0
[2025-10-21 22:43:27] [20251021222220] Epoch: 88, train loss positive: 191.1249, train loss negative: 474.9429, val acc: 1.0000, all_100_84226.8359375_1.0_0.0
[2025-10-21 22:43:42] [20251021222220] Epoch: 89, train loss positive: 189.7735, train loss negative: 470.1588, val acc: 1.0000, all_100_49191.26953125_1.0_0.0
[2025-10-21 22:43:56] [20251021222220] Epoch: 90, train loss positive: 188.8847, train loss negative: 468.5030, val acc: 1.0000, all_100_43200.66015625_1.0_0.0
[2025-10-21 22:44:10] [20251021222220] Epoch: 91, train loss positive: 188.8059, train loss negative: 469.8997, val acc: 1.0000, all_100_79617.8828125_1.0_0.0
[2025-10-21 22:44:23] [20251021222220] Epoch: 92, train loss positive: 188.5334, train loss negative: 471.3642, val acc: 1.0000, all_100_44264.99609375_1.0_0.0
[2025-10-21 22:44:37] [20251021222220] Epoch: 93, train loss positive: 189.4828, train loss negative: 474.2591, val acc: 1.0000, all_100_40347.48046875_1.0_0.0
[2025-10-21 22:44:52] [20251021222220] Epoch: 94, train loss positive: 190.1995, train loss negative: 482.2729, val acc: 1.0000, all_100_42013.50390625_1.0_0.0
[2025-10-21 22:45:06] [20251021222220] Epoch: 95, train loss positive: 197.6969, train loss negative: 520.0748, val acc: 1.0000, all_100_286130.1875_1.0_0.0
[2025-10-21 22:45:20] [20251021222220] Epoch: 96, train loss positive: 203.8057, train loss negative: 536.2464, val acc: 1.0000, all_100_92690.6953125_1.0_0.0
[2025-10-21 22:45:34] [20251021222220] Epoch: 97, train loss positive: 204.3440, train loss negative: 547.9477, val acc: 1.0000, all_100_1733122.125_1.0_0.0
[2025-10-21 22:45:48] [20251021222220] Epoch: 98, train loss positive: 215.3609, train loss negative: 627.7499, val acc: 1.0000, all_100_3729642.5_1.0_0.0
[2025-10-21 22:46:02] [20251021222220] Epoch: 99, train loss positive: 217.5274, train loss negative: 590.6643, val acc: 1.0000, all_100_943456.375_1.0_0.0
[2025-10-21 22:46:16] [20251021222220] Epoch: 100, train loss positive: 215.5969, train loss negative: 585.0804, val acc: 1.0000, all_100_64887.23828125_1.0_0.0
[2025-10-21 22:46:29] [20251021222220] Epoch: 101, train loss positive: 216.7697, train loss negative: 592.4738, val acc: 1.0000, all_100_185525.15625_1.0_0.0
[2025-10-21 22:46:45] [20251021222220] Epoch: 102, train loss positive: 218.6579, train loss negative: 590.6524, val acc: 1.0000, all_100_95086.84375_1.0_0.0
[2025-10-21 22:46:59] [20251021222220] Epoch: 103, train loss positive: 217.1804, train loss negative: 581.8544, val acc: 1.0000, all_100_99948.21875_1.0_0.0
[2025-10-21 22:47:13] [20251021222220] Epoch: 104, train loss positive: 213.9492, train loss negative: 566.4667, val acc: 1.0000, all_100_578884.125_1.0_0.0
[2025-10-21 22:47:28] [20251021222220] Epoch: 105, train loss positive: 213.4806, train loss negative: 562.2045, val acc: 1.0000, all_100_56669.484375_1.0_0.0
[2025-10-21 22:47:43] [20251021222220] Epoch: 106, train loss positive: 211.6892, train loss negative: 560.6826, val acc: 1.0000, all_100_86200.375_1.0_0.0
[2025-10-21 22:47:57] [20251021222220] Epoch: 107, train loss positive: 210.2243, train loss negative: 558.1716, val acc: 1.0000, all_100_155859.671875_1.0_0.0
[2025-10-21 22:48:11] [20251021222220] Epoch: 108, train loss positive: 208.8623, train loss negative: 564.6582, val acc: 1.0000, all_100_173974.90625_1.0_0.0
[2025-10-21 22:48:26] [20251021222220] Epoch: 109, train loss positive: 207.9128, train loss negative: 543.7063, val acc: 1.0000, all_100_59582.53515625_1.0_0.0
[2025-10-21 22:48:40] [20251021222220] Epoch: 110, train loss positive: 207.6043, train loss negative: 541.4212, val acc: 1.0000, all_100_54807.51953125_1.0_0.0
[2025-10-21 22:48:54] [20251021222220] Epoch: 111, train loss positive: 206.1189, train loss negative: 532.9587, val acc: 1.0000, all_100_58641.18359375_1.0_0.0
[2025-10-21 22:49:08] [20251021222220] Epoch: 112, train loss positive: 203.3269, train loss negative: 529.2795, val acc: 1.0000, all_100_80295.796875_1.0_0.0
[2025-10-21 22:49:22] [20251021222220] Epoch: 113, train loss positive: 201.7604, train loss negative: 523.1340, val acc: 1.0000, all_100_197971.59375_1.0_0.0
[2025-10-21 22:49:36] [20251021222220] Epoch: 114, train loss positive: 200.6290, train loss negative: 520.8995, val acc: 1.0000, all_100_53952.18359375_1.0_0.0
[2025-10-21 22:49:50] [20251021222220] Epoch: 115, train loss positive: 200.0106, train loss negative: 518.0524, val acc: 1.0000, all_100_77022.1171875_1.0_0.0
[2025-10-21 22:50:05] [20251021222220] Epoch: 116, train loss positive: 197.9941, train loss negative: 513.4612, val acc: 1.0000, all_100_190533.09375_1.0_0.0
[2025-10-21 22:50:20] [20251021222220] Epoch: 117, train loss positive: 196.9886, train loss negative: 510.7779, val acc: 1.0000, all_100_423374.34375_1.0_0.0
[2025-10-21 22:50:34] [20251021222220] Epoch: 118, train loss positive: 196.3063, train loss negative: 504.0813, val acc: 1.0000, all_100_57360.234375_1.0_0.0
[2025-10-21 22:50:49] [20251021222220] Epoch: 119, train loss positive: 193.4237, train loss negative: 501.9054, val acc: 1.0000, all_100_309128.03125_1.0_0.0
[2025-10-21 22:51:03] [20251021222220] Epoch: 120, train loss positive: 192.3720, train loss negative: 494.6175, val acc: 1.0000, all_100_57156.51171875_1.0_0.0
[2025-10-21 22:51:17] [20251021222220] Epoch: 121, train loss positive: 190.9662, train loss negative: 492.2505, val acc: 1.0000, all_100_59137.984375_1.0_0.0
[2025-10-21 22:51:31] [20251021222220] Epoch: 122, train loss positive: 188.7546, train loss negative: 490.8600, val acc: 1.0000, all_100_50583.875_1.0_0.0
[2025-10-21 22:51:45] [20251021222220] Epoch: 123, train loss positive: 187.8843, train loss negative: 487.1530, val acc: 1.0000, all_100_56619.65625_1.0_0.0
[2025-10-21 22:52:00] [20251021222220] Epoch: 124, train loss positive: 185.2079, train loss negative: 483.1099, val acc: 1.0000, all_100_67248.3984375_1.0_0.0
[2025-10-21 22:52:14] [20251021222220] Epoch: 125, train loss positive: 184.1429, train loss negative: 480.1767, val acc: 1.0000, all_100_103901.828125_1.0_0.0
[2025-10-21 22:52:28] [20251021222220] Epoch: 126, train loss positive: 182.9404, train loss negative: 474.2843, val acc: 1.0000, all_100_119320.8359375_1.0_0.0
[2025-10-21 22:52:42] [20251021222220] Epoch: 127, train loss positive: 182.1022, train loss negative: 471.1907, val acc: 1.0000, all_100_41413.0390625_1.0_0.0
[2025-10-21 22:52:56] [20251021222220] Epoch: 128, train loss positive: 180.9816, train loss negative: 469.3756, val acc: 1.0000, all_100_55588.7578125_1.0_0.0
[2025-10-21 22:53:10] [20251021222220] Epoch: 129, train loss positive: 180.3172, train loss negative: 466.0726, val acc: 1.0000, all_100_58269.69140625_1.0_0.0
[2025-10-21 22:53:25] [20251021222220] Epoch: 130, train loss positive: 178.3244, train loss negative: 465.7691, val acc: 1.0000, all_100_84564.6328125_1.0_0.0
[2025-10-21 22:53:39] [20251021222220] Epoch: 131, train loss positive: 178.1387, train loss negative: 463.3603, val acc: 1.0000, all_100_58702.01171875_1.0_0.0
[2025-10-21 22:53:54] [20251021222220] Epoch: 132, train loss positive: 176.6336, train loss negative: 463.7249, val acc: 1.0000, all_100_40466.80859375_1.0_0.0
[2025-10-21 22:54:08] [20251021222220] Epoch: 133, train loss positive: 176.3506, train loss negative: 463.2479, val acc: 1.0000, all_100_39628.99609375_1.0_0.0
[2025-10-21 22:54:22] [20251021222220] Epoch: 134, train loss positive: 177.4256, train loss negative: 468.8616, val acc: 1.0000, all_100_137981.125_1.0_0.0
[2025-10-21 22:54:36] [20251021222220] Epoch: 135, train loss positive: 176.0542, train loss negative: 465.6705, val acc: 1.0000, all_100_47044.29296875_1.0_0.0
[2025-10-21 22:54:50] [20251021222220] Epoch: 136, train loss positive: 177.3533, train loss negative: 463.3110, val acc: 1.0000, all_100_45243.06640625_1.0_0.0
[2025-10-21 22:55:05] [20251021222220] Epoch: 137, train loss positive: 175.9507, train loss negative: 466.1869, val acc: 1.0000, all_100_84156.765625_1.0_0.0
[2025-10-21 22:55:19] [20251021222220] Epoch: 138, train loss positive: 177.1482, train loss negative: 466.8855, val acc: 1.0000, all_100_37311.06640625_1.0_0.0
