[2025-10-21 21:41:26] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 21:41:26] mask_ratio=0.25, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=mse, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 21:53:29] [20251021214126] Epoch: 31, train loss positive: 333.5693, train loss negative: 866.9334, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:53:51] [20251021214126] Epoch: 32, train loss positive: 333.5779, train loss negative: 867.8514, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:54:12] [20251021214126] Epoch: 33, train loss positive: 333.6282, train loss negative: 867.2210, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:54:33] [20251021214126] Epoch: 34, train loss positive: 333.5732, train loss negative: 867.5600, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:54:55] [20251021214126] Epoch: 35, train loss positive: 333.5996, train loss negative: 866.9279, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:55:16] [20251021214126] Epoch: 36, train loss positive: 333.6089, train loss negative: 867.4184, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:55:37] [20251021214126] Epoch: 37, train loss positive: 333.6035, train loss negative: 867.7967, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:55:58] [20251021214126] Epoch: 38, train loss positive: 333.5849, train loss negative: 867.4149, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:56:20] [20251021214126] Epoch: 39, train loss positive: 333.5998, train loss negative: 866.6116, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:56:41] [20251021214126] Epoch: 40, train loss positive: 333.5890, train loss negative: 866.9142, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:57:02] [20251021214126] Epoch: 41, train loss positive: 333.6019, train loss negative: 868.3694, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:57:23] [20251021214126] Epoch: 42, train loss positive: 333.6095, train loss negative: 866.8996, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:57:44] [20251021214126] Epoch: 43, train loss positive: 333.6063, train loss negative: 867.0586, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:58:05] [20251021214126] Epoch: 44, train loss positive: 333.6204, train loss negative: 868.0415, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:58:28] [20251021214126] Epoch: 45, train loss positive: 333.5873, train loss negative: 866.6447, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:58:50] [20251021214126] Epoch: 46, train loss positive: 333.5710, train loss negative: 867.2939, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:59:12] [20251021214126] Epoch: 47, train loss positive: 333.6001, train loss negative: 867.7455, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:59:33] [20251021214126] Epoch: 48, train loss positive: 333.5842, train loss negative: 867.0162, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 21:59:54] [20251021214126] Epoch: 49, train loss positive: 333.6013, train loss negative: 866.8222, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:00:16] [20251021214126] Epoch: 50, train loss positive: 333.6150, train loss negative: 867.5579, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:00:37] [20251021214126] Epoch: 51, train loss positive: 333.6128, train loss negative: 867.2813, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:00:59] [20251021214126] Epoch: 52, train loss positive: 333.5825, train loss negative: 867.7073, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:01:21] [20251021214126] Epoch: 53, train loss positive: 333.6040, train loss negative: 866.9528, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:01:43] [20251021214126] Epoch: 54, train loss positive: 333.5789, train loss negative: 867.6849, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:02:04] [20251021214126] Epoch: 55, train loss positive: 333.5984, train loss negative: 867.8611, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:02:26] [20251021214126] Epoch: 56, train loss positive: 333.5761, train loss negative: 867.0422, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:02:47] [20251021214126] Epoch: 57, train loss positive: 333.6035, train loss negative: 867.8960, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:03:09] [20251021214126] Epoch: 58, train loss positive: 333.6099, train loss negative: 867.2757, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:03:30] [20251021214126] Epoch: 59, train loss positive: 333.5851, train loss negative: 866.3855, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:03:51] [20251021214126] Epoch: 60, train loss positive: 333.6300, train loss negative: 867.3389, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:04:13] [20251021214126] Epoch: 61, train loss positive: 333.6120, train loss negative: 867.6036, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:04:35] [20251021214126] Epoch: 62, train loss positive: 333.5996, train loss negative: 867.7582, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:04:57] [20251021214126] Epoch: 63, train loss positive: 333.5992, train loss negative: 867.7842, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:05:18] [20251021214126] Epoch: 64, train loss positive: 333.5983, train loss negative: 866.9189, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:05:40] [20251021214126] Epoch: 65, train loss positive: 333.5958, train loss negative: 867.3242, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:06:02] [20251021214126] Epoch: 66, train loss positive: 333.5758, train loss negative: 867.8612, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:06:23] [20251021214126] Epoch: 67, train loss positive: 333.5832, train loss negative: 867.5214, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:06:44] [20251021214126] Epoch: 68, train loss positive: 333.5945, train loss negative: 867.7295, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:07:05] [20251021214126] Epoch: 69, train loss positive: 333.6108, train loss negative: 867.3819, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
[2025-10-21 22:07:27] [20251021214126] Epoch: 70, train loss positive: 333.5858, train loss negative: 867.9481, val acc: 0.2300, negative_77.0_1004.6171295166016_0.9000956022944551_0.2300012250398138
