[2025-10-21 16:56:22] 备注: 使用mamba测试对指定类别的重构效果
[2025-10-21 16:56:22] mask_ratio=0.75, batch_size=512, lr=1e-05, weight_decay=0.0001, epochs=200, loss_func=l1, hidden_dim1=128, hidden_dim2=512, mamba_d_state=64, mamba_d_conv=4, mamba_expand=2, window_size=15, stride=15
[2025-10-21 17:05:44] [20251021165622] Epoch: 39, train loss positive: 2.9520, train loss negative: 6.7404, val acc: 0.8397, positive_0_0.11090032011270523
[2025-10-21 17:06:08] [20251021165622] Epoch: 40, train loss positive: 2.9438, train loss negative: 6.9639, val acc: 0.8397, positive_0_0.11113192141056061
[2025-10-21 17:06:30] [20251021165622] Epoch: 41, train loss positive: 2.9433, train loss negative: 6.8390, val acc: 0.8397, positive_0_0.11628073453903198
[2025-10-21 17:06:54] [20251021165622] Epoch: 42, train loss positive: 2.9372, train loss negative: 6.7566, val acc: 0.8397, negative_0_0.09848848730325699
[2025-10-21 17:07:19] [20251021165622] Epoch: 43, train loss positive: 2.9397, train loss negative: 6.8844, val acc: 0.8397, positive_0_0.1132931113243103
[2025-10-21 17:07:45] [20251021165622] Epoch: 44, train loss positive: 2.9311, train loss negative: 6.6329, val acc: 0.8397, positive_0_0.11255907267332077
[2025-10-21 17:08:12] [20251021165622] Epoch: 45, train loss positive: 2.9250, train loss negative: 6.7923, val acc: 0.8397, positive_0_0.10913237184286118
[2025-10-21 17:08:36] [20251021165622] Epoch: 46, train loss positive: 2.9268, train loss negative: 6.6228, val acc: 0.8397, positive_0_0.11019900441169739
[2025-10-21 17:08:59] [20251021165622] Epoch: 47, train loss positive: 2.9163, train loss negative: 6.8516, val acc: 0.8397, positive_0_0.11292491108179092
[2025-10-21 17:09:22] [20251021165622] Epoch: 48, train loss positive: 2.9136, train loss negative: 6.8591, val acc: 0.8397, positive_0_0.11463209986686707
[2025-10-21 17:09:45] [20251021165622] Epoch: 49, train loss positive: 2.9109, train loss negative: 6.6101, val acc: 0.8397, positive_0_0.10939615964889526
